Fechas  Zona,,,
Fecha,Ministerio,Nombre,Sede
8-10 de enero 2026,JNI Nacional,Retiro,Pendiente
24 de enero de 2026,JNI Zona,1er Competencia Esgrima,IDN Sinaí
,MNI Zona,Capacitación,Pendiente
31 de enero de 2026,DNI Zona,Capacitación MEBI,IDN SInaí
14 de febrero de 2026,JNI Zona,Reunión de Amor y Amistad,Pendiente
21 de febrero de 2026,MNI Distrito,MNI Distrito Oración,Pendiente
28 de febrero de 2026,JNI Zona,2a Competencia Esgrima,Pendiente
,DNI Zona,Plenitud de vida,Parque Metropolitano
6 de marzo de 2026,MNI Zona,Vigilia de oración,Pendiente
7 de marzo de 2026,DNI Zona,Semillas del saber,Pendiente
8 de Marzo 2026,JNI Distrito,Evangelismo Urbano,
14 de marzo de 2026,DNI Distrito,Congreso de mujeres,León Gto.
28 de marzo de 2026,JNI Zona,3er Competencia Esgrima,Pendiente
,MNI Zona,Máxima Misión,Pendiente
18 de abril de 2026,DNI Zona,MEBI - 1er competencia,Pendiente
25 de abril de 2026,JNI Zona,4a Competencia Esgrima,Pendiente
30 abril al 2 de mayo de 2026,Área Mexico,Expo Naz,Pendiente
16 de mayo de 2026,JNI Zona,5a Competencia Esgrima / Culto Unido,Pendiente
23 de mayo de 2026,MNI Zona,Máxima Misión,Pendiente
,JNI Distrito,Eliminatoria de Esgrima,
30 de mayo de 2026,DNI Zona,MEBI - 2a competencia,Pendiente
6 de junio de 2026,JNI Zona,Reunión líderes,Pendiente
27 de junio de 2026,DNI Zona,CAFÉ,Pendiente
4 de julio de 2026,DNI Zona,MEBI - Final,Pendiente
11 de julio de 2026,JNI Zona,Noche de talentos,Pendiente
24-26 de julio de 2026,DNI Zona,Campamento infantil,Campamento Vida Nueva
18 julio al 3 de agosto de 2026,MNI Zona,Gira misionera,Pendiente
21-22 Julio,JNI Distrito,Weekend Adolescentes,
30 julio al 1 de agosto de 2026,JNI Nacional,JNI Congreso Nacional Juvenil,Distrito Occidente
22 de agosto de 2026,MNI Zona,Niños construyendo,Pendiente
29 de agosto de 2026,DNI Zona,Plenitud de vida,Pendiente
11 de septiembre de 2026,MNI Zona,Culto de acción de gracias,Pendiente
12 de septiembre de 2026,DNI Zona,Varones,Pendiente
,JNI Zona,Noche mexicana,Pendiente
19 de septiembre de 2026,DNI Zona,Mujeres,Pendiente
25-26 de septiembre de 2026,JNI Distrito,Congreso de alabanza,Pendiente
10 de octubre de 2026,Zona,Zona Jalisco - Triconvención anual,Pendiente
17 de octubre de 2026,Distrito,Triconvención Distrital,"Torre fuerte León, Gto."
30-31 de Octubre 2026,JNI,Level Up Lideres,